id;qr_code;name;image_data;image_data_content_type;image_url;q_t
1;à travers à l'encontre de;camarade;../fake-data/blob/hipster.png;image/png;sauf population du Québec autrement;12731
2;vraiment;énorme actionnaire;../fake-data/blob/hipster.png;image/png;rencontrer avant-hier;28000
3;pendant;chef;../fake-data/blob/hipster.png;image/png;juriste snob ouch;29318
4;intéresser fidèle sus;contraindre par rapport à;../fake-data/blob/hipster.png;image/png;commissionnaire affirmer pff;8354
5;précisément volontiers;rassembler;../fake-data/blob/hipster.png;image/png;présidence de la part de;2005
6;derrière boum;bientôt d’autant que tranquille;../fake-data/blob/hipster.png;image/png;à condition que rédaction;897
7;plouf près;même si;../fake-data/blob/hipster.png;image/png;servir abolir de manière à ce que;2801
8;distinguer à condition que assurément;outre;../fake-data/blob/hipster.png;image/png;dans la mesure où pauvre renforcer;12819
9;au point que ouah apte;âcre;../fake-data/blob/hipster.png;image/png;que tant;16475
10;à bas de à raison de si;plouf lorsque;../fake-data/blob/hipster.png;image/png;pour;6081
