id;client;contract_number;adress;technicien_def;date;table_detection_task_status;table_detection_comment;di_dm_task_status;di_dm_comment;detecteurs_ponctuels_task_status;detecteurs_ponctuels_comment;declencheur_manuels_task_status;declencheur_manuels_comment;table_mise_security_incendie_task_status;table_mise_security_incendie_comment;alimentation_secours_task_status;alimentation_secours_comment;equipement_alarme_task_status;equipement_alarme_comment;das_task_status;das_comment;arret_technique_task_status;arret_technique_comment;baie_pcs_task_status;baie_pc_scomment;superviseur_task_status;superviseur_comment;validate;created_by
1;psitt groin groin novice;de façon que rédaction;bzzz disperser fidèle;population du Québec vibrer;2024-08-16T13:29:38;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;true;blesser
2;confirmer de façon à;consentir dès;cyan de délégation;au-dessus de chut suivant;2024-08-17T11:21:02;PRD;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;true;groin groin vroum
3;partenaire;contrarier en guise de vlan;ha ha alentour tant;pff;2024-08-17T01:12:02;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;true;sitôt que commenter
4;jamais;aimable de manière à intégrer;admirer bientôt pschitt;magnifique avant que;2024-08-17T11:36:23;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;false;crac autoriser
5;en faveur de rectorat oh;responsable vraiment atchoum;tant cyan au-dessous de;areu areu quand;2024-08-16T23:02:46;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;false;miam reparaître
6;raide;boum;pendant que;membre à vie;2024-08-17T10:45:35;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;true;infiniment membre de l’équipe
7;porte-parole jusque dedans;rédaction spécialiste;pas mal par suite de;vorace;2024-08-16T19:30:53;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;false;membre du personnel vu que d'après
8;mieux bien que;trop peu;au point que conseil d’administration actionnaire;divinement d'avec;2024-08-17T01:10:55;REPAIRED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;true;carrément
9;demain bien que en decà de;excéder novice;direction commis de cuisine;claquer ressentir si;2024-08-17T04:47:43;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;false;malade
10;candide électorat hôte;rapide;compléter rendre;parce que hirsute;2024-08-16T23:32:46;PRD;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;INSPECTED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;REPAIRED;../fake-data/blob/hipster.txt;PRD;../fake-data/blob/hipster.txt;true;brusque exprès
