id;site;code_agence;affaire_number;contract_number;installation_adress;interlocuteur_intervation;tel;installation_sous_contract;installation_sous_garantie;adress_facturation;interlocuteur_facturation;condition_de_payement_cheque;condition_payement_autre;condition_payement_comment;mise_en_service_definitvie;mise_en_service_partielle;maintenance_preventive;maintenance_corrective;b_t;anomalie_signalee;intervention_date;intervention_start_date;remise_service_date;end_date;nature_intervention;cause_exterieur_installation;installation_fonctionnelle_apres_inervention;autre_interventions_a_prevoir;client_apreciation;respect_delais;qualite_intervention;qualite_devoir_conseil;prestations_achevees;devis_complentaire;technicien_name;code_technicien;validation_client_name;validation_name_function;validation_client_date;bon_pour_command;created_by;validation
1;au-dessous de tant en dedans de;alors que après large;de la part de a à l'instar de;ouf à l'entour de oups;aussitôt que menacer pendant;à cause de;glouglou serrer;true;true;très;avex rejoindre;false;true;du moment que insipide;true;true;false;true;croître;membre du personnel athlète;2024-08-17T07:33:51;2024-08-17T10:20:56;2024-08-17T11:01:50;2024-08-16T18:00:20;../fake-data/blob/hipster.txt;true;false;vétuste tranquille que;au-dessous vaste;PASSABLE;TRES_SATISFAISANT;PASSABLE;false;true;d’autant que étant donné que;sitôt que lors de;afin de collègue;raide;2024-08-17;false;en vérité parce que;false
2;fade;puisque tchou tchouu;situer;là-haut;négliger équipe;devant;clac;true;true;éclairer;insuffisamment bè également;true;false;jeter copier dring;false;false;true;true;de si assez;pousser repousser;2024-08-17T12:12:59;2024-08-17T10:56:22;2024-08-17T03:21:17;2024-08-17T11:32:57;../fake-data/blob/hipster.txt;false;true;cependant planter;toutefois souple bien que;SATISFAISANT;TRES_SATISFAISANT;MEDIOCRE;false;true;smack a;impressionner;lectorat au point que sans que;éclater de par pauvre;2024-08-16;true;placide agréable;false
3;ouch;bien que;sombre dynamique;quasi;hors quant à collègue;conseil municipal commis de cuisine;même si pendant;false;false;areu areu;quasiment;true;true;à moins de saigner encore;false;false;false;true;miaou de façon à ce que divinement;marron discerner;2024-08-16T13:42:32;2024-08-17T01:43:55;2024-08-16T16:11:52;2024-08-17T11:50:15;../fake-data/blob/hipster.txt;false;false;aussi;âcre dresser;TRES_SATISFAISANT;SATISFAISANT;PASSABLE;true;false;jouer biathlète propre;sans;avex jusque;ding;2024-08-17;false;collègue;false
4;jusque prestataire de services actionnaire;sauvage miaou;hystérique;jeune enfant auprès de à moins de;proposer à côté de;rectorat;si bien que aussi;false;true;paf ailleurs bof;près;true;false;vu que multiplier de manière à ce que;true;false;true;false;de façon que vouh;malgré derrière pour;2024-08-16T20:03:28;2024-08-16T15:58:47;2024-08-16T16:15:09;2024-08-17T12:32:08;../fake-data/blob/hipster.txt;true;true;puisque broum;après attendrir traîner;TRES_SATISFAISANT;MEDIOCRE;PASSABLE;false;false;conseil d’administration;tellement groin groin fort;joliment lunatique;responsable à moins de;2024-08-17;false;perplexe;false
5;tantôt pauvre;bien que tant;rectangulaire tant;redescendre trop porte-parole;fourbe pour;sans doute rectorat;partir touriste par suite de;false;true;si bien que responsable;aigre en dehors de vaste;false;true;communauté étudiante pff;false;false;false;true;à condition que diététiste;insipide aussi ding;2024-08-17T05:35:48;2024-08-17T01:49:05;2024-08-16T22:47:49;2024-08-17T05:58:19;../fake-data/blob/hipster.txt;true;true;communauté étudiante à condition que de sorte que;extatique;TRES_SATISFAISANT;PASSABLE;TRES_SATISFAISANT;false;true;gémir toujours membre titulaire;en guise de égoïste à côté de;émérite cependant;pour que bien que patientèle;2024-08-16;true;accommoder dans la mesure où;false
6;du moment que;suivant;échapper aimer ignorer;si;hé à l'entour de crac;du fait que pis;entrevoir parlementaire lorsque;true;false;sus énorme;meubler aux alentours de;false;false;hystérique efficace;true;false;true;false;arrière tandis que;débile réchauffer féliciter;2024-08-17T09:08:29;2024-08-16T22:02:36;2024-08-17T11:14:13;2024-08-16T15:32:26;../fake-data/blob/hipster.txt;false;false;de manière à ce que hebdomadaire recta;prestataire de services;PASSABLE;TRES_SATISFAISANT;PASSABLE;false;true;au-dessus alentour lâche;cuicui fouiller déjà;aussi de crainte que;terne secours;2024-08-17;true;alors que;true
7;également tellement administration;tellement de crainte que hé;aïe secours;pas mal membre à vie;aussi pff;tôt au-delà;triangulaire espiègle à condition que;true;true;concurrence;drelin excuser vers;true;true;de façon à ce que bzzz;false;false;true;true;ha ha;turquoise pourrir;2024-08-17T02:32:07;2024-08-16T12:58:11;2024-08-16T20:18:09;2024-08-16T19:14:58;../fake-data/blob/hipster.txt;false;true;responsable;aujourd'hui;MEDIOCRE;TRES_SATISFAISANT;TRES_SATISFAISANT;false;false;adresser;diététiste coupable environ;conseil d’administration commissionnaire suivant;à cause de vorace;2024-08-17;false;charitable;false
8;précisément puisque là-haut;rassembler;réprimer;moyennant descendre commis;afin que dring bon;repentir à seule fin de;a boum égoïste;true;true;nager;attraper loin;true;false;jeune enfant;true;false;true;true;mal équipe de recherche;miam;2024-08-17T02:37:34;2024-08-16T21:57:47;2024-08-17T07:10:08;2024-08-16T18:04:29;../fake-data/blob/hipster.txt;false;false;tranquille considérable en plus de;beaucoup magenta toc-toc;SATISFAISANT;TRES_SATISFAISANT;MEDIOCRE;false;false;commis de cuisine communauté étudiante manger;subito mairie plic;prestataire de services concurrence;sans que;2024-08-17;true;diététiste quand;true
9;coin-coin désagréable;responsable;en vérité vlan;porter cot cot;même si ouah;commis de cuisine mince;du moment que détendre meuh;false;true;secouriste;personnel placide;true;false;autour de après que;false;false;true;true;incarner;glouglou pourvu que quoique;2024-08-17T08:57:49;2024-08-17T04:45:19;2024-08-17T01:03:01;2024-08-16T18:58:35;../fake-data/blob/hipster.txt;true;false;délégation dring hier;émérite au-dehors sympathique;MEDIOCRE;SATISFAISANT;MEDIOCRE;true;true;jeune enfant conseil d’administration;insolite;près;cuicui oh;2024-08-17;false;blablabla électorat clac;true
10;toc-toc antique dès que;au-dessous de cocorico;guider dérouler snif;énergique;planquer triathlète admettre;au point que avant de;infime;true;true;sédentaire;concurrence;false;true;main-d’œuvre fendre au-dessous de;false;false;false;false;maintenant équipe de recherche;miaou;2024-08-16T18:33:39;2024-08-16T14:14:48;2024-08-16T17:32:25;2024-08-16T21:46:24;../fake-data/blob/hipster.txt;true;true;cuicui en;mairie personnel professionnel hier;TRES_SATISFAISANT;PASSABLE;TRES_SATISFAISANT;true;true;bzzz sombre miam;couler gestionnaire mélanger;aujourd'hui financer altruiste;ouah vorace;2024-08-17;true;quoique lâche;false
